year,ccode,cname,ph_infrastructure,ict,business,border_transp,export
2005,ARE,United Arab Emirates,0.7541196,0.7183446,0.7094234,0.7954556,Add
2005,GBR,United Kingdom,0.7884226,0.7609972,0.8318381,0.9171785,Add
2005,USA,United States,0.8865777,1,0.729943,0.9522247,Add
2005,URY,Uruguay,0.3982793,0.3373429,0.5758855,0.5783261,Add
2005,VEN,Venezuela,0.2679011,0.3847947,0.1103728,0.4425516,Add
2005,VNM,Vietnam,0.2810162,0.3655196,0.2168941,0.7163795,Add
2005,ZMB,Zambia,0.2532917,0.2076513,0.1869808,0.3996542,Add
2005,ZWE,Zimbabwe,0.2862833,0.1705488,0.2552338,0.3686858,Add
2006,ALB,Albania,0.1508199,0.1129377,0.2072657,0.6623797,Add
2006,DZA,Algeria,0.2976117,0.2917591,0.3876065,0.6495711,Add
2006,ARG,Argentina,0.3606375,0.4531834,0.2019272,0.6837535,Add
2006,ARM,Armenia,0.2357173,0.3537579,0.2818786,0.6195613,Add
2006,AUS,Australia,0.7512649,0.7842148,0.8393549,0.8380859,Add
2006,AUT,Austria,0.7690507,0.7912977,0.7995936,0.9294735,Add
2006,AZE,Azerbaijan,0.5046884,0.4933587,0.245068,0.2757592,Add
2006,BHR,Bahrain,0.5968008,0.5056097,0.5252464,0.8337023,Add
2006,BGD,Bangladesh,0.2310344,0.2775328,0.0227886,0.6498548,Add
2006,BEL,Belgium,0.8894668,0.6694436,0.6692755,0.926182,Add
2006,BEN,Benin,0.1682804,0.2980634,0.1626714,0.5934039,Add
2006,BOL,Bolivia,0.123049,0.2468448,0.2036103,0.6245014,Add
2006,BIH,Bosnia and Herzegovina,0.1013836,0.2321995,0.2497798,0.7551234,Add
2006,BWA,Botswana,0.3837994,0.3293915,0.5064746,0.5705654,Add
2006,BRA,Brazil,0.3142665,0.655493,0.3185524,0.6947399,Add
2006,BGR,Bulgaria,0.3334601,0.2392403,0.3679748,0.7547659,Add
2006,KHM,Cambodia,0.3136064,0.4038799,0.1263127,0.3705739,Add
2006,CMR,Cameroon,0.1148224,0.2006999,0.1340912,0.573724,Add
2006,CAN,Canada,0.823557,0.8343026,0.7170427,0.9721985,Add
2006,TCD,Chad,0.0413336,0.0590942,0.0861246,0.1951877,Add
2006,CHL,Chile,0.6461089,0.7710696,0.7232879,0.7371964,Add
2006,CHN,China,0.4607763,0.5087526,0.3402953,0.7246518,Add
2006,COL,Colombia,0.3295307,0.4551386,0.3767645,0.7054578,Add
2006,CRI,Costa Rica,0.2524393,0.4679539,0.4593162,0.6875353,Add
2006,HRV,Croatia,0.4781014,0.423264,0.3731436,0.7010545,Add
2006,CZE,Czech Republic,0.5293695,0.6202941,0.4183892,0.7928237,Add
2006,DNK,Denmark,0.9260877,0.9168664,1,0.99733,Add
2006,DOM,Dominican Republic,0.45299,0.559599,0.236277,0.7997643,Add
2006,ECU,Ecuador,0.2832527,0.3352306,0.1682603,0.5320262,Add
2006,EGY,Egypt,0.4590209,0.4729904,0.416754,0.7941798,Add
2006,SLV,El Salvador,0.5253651,0.567522,0.4972996,0.6040207,Add
2006,EST,Estonia,0.6004512,0.908147,0.6006682,1,Add
2006,ETH,Ethiopia,0.2200865,0.2002577,0.3066378,0.493225,Add
2006,FIN,Finland,0.8678749,0.921528,0.9847685,0.9294735,Add
2006,FRA,France,0.9633086,0.751124,0.7037099,0.9042289,Add
2006,GMB,Gambia,0.3400005,0.3483138,0.3459156,0.6996094,Add
2006,GEO,Georgia,0.3342564,0.2728243,0.2650248,0.7452291,Add
2006,DEU,Germany,0.9970545,0.8662822,0.8567384,0.9367911,Add
2006,GHA,Ghana,0.3884854,0.3682868,0.3717804,0.7189165,Add
2006,GRC,Greece,0.6001096,0.4156375,0.4420838,0.77663,Add
2006,GTM,Guatemala,0.3849487,0.5660828,0.3751681,0.5352077,Add
2006,GUY,Guyana,0.219464,0.1738533,0.1984968,0.6063061,Add
2006,HND,Honduras,0.3596114,0.2983035,0.2324529,0.617211,Add
2006,HKG,Hong Kong SAR,0.9805303,0.8154449,0.8303814,0.9703521,Add
2006,HUN,Hungary,0.4453391,0.569628,0.4390356,0.7880629,Add
2006,ISL,Iceland,0.6579596,1,0.9830502,0.8559194,Add
2006,IND,India,0.5295095,0.7653536,0.4328414,0.652128,Add
2006,IDN,Indonesia,0.2825257,0.4177129,0.2752288,0.7660207,Add
2006,IRL,Ireland,0.544621,0.7403193,0.6827917,0.9432852,Add
2006,ISR,Israel,0.692728,0.913904,0.6584411,0.8975326,Add
2006,ITA,Italy,0.4596023,0.5843682,0.4519087,0.8226225,Add
2006,JAM,Jamaica,0.533406,0.5730433,0.3400187,0.7568567,Add
2006,JPN,Japan,0.9373574,0.873023,0.7433565,0.9115465,Add
2006,JOR,Jordan,0.5262921,0.4974392,0.5413492,0.7163355,Add
2006,KAZ,Kazakhstan,0.3361249,0.4496956,0.3133237,0.016564,Add
2006,KEN,Kenya,0.3531816,0.4270788,0.1792446,0.5525056,Add
2006,KOR,"Korea, Rep.",0.7532134,0.8862555,0.4492571,0.8878602,Add
2006,KWT,Kuwait,0.5403634,0.4896002,0.4595219,0.6244155,Add
2006,KGZ,Kyrgyz Republic,0.1507862,0.1378193,0.1265548,0.0692661,Add
2006,LVA,Latvia,0.5724444,0.5252919,0.4368857,0.8219813,Add
2006,LTU,Lithuania,0.5766059,0.5541734,0.4131566,0.8307682,Add
2006,LUX,Luxembourg,0.7234536,0.6368111,0.8661112,0.9414387,Add
2006,MDG,Madagascar,0.2024185,0.3820015,0.2221786,0.5992389,Add
2006,MWI,Malawi,0.1740956,0.1881462,0.3020484,0.3093622,Add
2006,MYS,Malaysia,0.8252136,0.8183313,0.6078275,0.7466939,Add
2006,MLI,Mali,0.1343441,0.3699026,0.2278129,0.3310952,Add
2006,MUS,Mauritius,0.5369157,0.3888859,0.3858832,0.8183323,Add
2006,MEX,Mexico,0.442158,0.536019,0.3715938,0.8182433,Add
2006,MDA,Moldova,0.2173999,0.1915295,0.3350831,0.6468272,Add
2006,MNG,Mongolia,0.1572223,0.2344718,0.2197875,0.5751889,Add
2006,MAR,Morocco,0.46459,0.4613387,0.3190033,0.6289123,Add
2006,MOZ,Mozambique,0.2126931,0.1432339,0.236214,0.5369848,Add
2006,NAM,Namibia,0.6279756,0.3582808,0.3513567,0.5211003,Add
2006,NLD,Netherlands,0.9428103,0.8286179,0.8905564,0.9441089,Add
2006,NZL,New Zealand,0.676992,0.6780455,0.9931982,0.8412642,Add
2006,NIC,Nicaragua,0.2256522,0.2906265,0.2827048,0.6923732,Add
2006,NGA,Nigeria,0.2542005,0.3980136,0.1700666,0.4863868,Add
2006,NOR,Norway,0.7275717,0.8843966,0.9197086,0.9597428,Add
2006,PAK,Pakistan,0.4904869,0.4428943,0.28763,0.631884,Add
2006,PAN,Panama,0.5968327,0.5649623,0.3242723,0.9707292,Add
2006,PRY,Paraguay,0.1560627,0.1611836,0.1659024,0.4956114,Add
2006,PER,Peru,0.2227039,0.5055878,0.3890989,0.6436292,Add
2006,PHL,Philippines,0.2868896,0.5267355,0.2053179,0.6889805,Add
2006,POL,Poland,0.4143634,0.4257642,0.3839875,0.8050771,Add
2006,PRT,Portugal,0.7119493,0.6161153,0.6840088,0.7737849,Add
2006,QAT,Qatar,0.5507401,0.6495321,0.7088945,0.7661098,Add
2006,ROM,Romania,0.301569,0.4212456,0.2062538,0.8483377,Add
2006,RUS,Russian Federation,0.3975144,0.4212078,0.2223027,0.4384773,Add
2006,SRB,Serbia and Montenegro,0.178383,0.2579708,0.3032958,0.8194244,Add
2006,SGP,Singapore,1,0.9081782,0.9885551,0.9809613,Add
2006,SVK,Slovak Republic,0.4621367,0.577342,0.4295434,0.684974,Add
2006,SVN,Slovenia,0.5575555,0.5546715,0.6309663,0.718271,Add
2006,ZAF,South Africa,0.6471165,0.57914,0.5159279,0.5577326,Add
2006,ESP,Spain,0.7694048,0.6012338,0.5849239,0.7987656,Add
2006,LKA,Sri Lanka,0.3735012,0.3822872,0.2149508,0.7121961,Add
2006,SWE,Sweden,0.8225729,0.9558242,0.8966143,0.9819599,Add
2006,CHE,Switzerland,0.9176696,0.889819,0.9032854,0.926182,Add
2006,TZA,Tanzania,0.3656896,0.4087478,0.3355471,0.7211159,Add
2006,THA,Thailand,0.6566755,0.722672,0.3983769,0.7048167,Add
2006,TTO,Trinidad and Tobago,0.3397666,0.3967852,0.230326,0.7974954,Add
2006,TUN,Tunisia,0.6531852,0.6473773,0.617921,0.7756314,Add
2006,TUR,Turkey,0.4235712,0.5798765,0.386191,0.7365553,Add
2006,UGA,Uganda,0.1975051,0.3613591,0.1506996,0.612061,Add
2006,UKR,Ukraine,0.3185604,0.3060451,0.2906425,0.5688322,Add
2006,ARE,United Arab Emirates,0.7528075,0.7701166,0.7180088,0.843313,Add
2006,GBR,United Kingdom,0.8292056,0.8441036,0.819128,0.9158367,Add
2006,USA,United States,0.8563379,0.8929442,0.6112009,0.9474003,Add
2006,URY,Uruguay,0.3755346,0.4850053,0.6313645,0.5471927,Add
2006,VEN,Venezuela,0.2588765,0.425631,0.1230276,0.3985942,Add
2006,VNM,Vietnam,0.2846963,0.389498,0.2096749,0.6955832,Add
2006,ZMB,Zambia,0.2540558,0.2192289,0.0692328,0.42092,Add
2006,ZWE,Zimbabwe,0.2842106,0.1542351,0.167127,0.3894497,Add
2007,ALB,Albania,0.1992679,0.2021978,0.224723,0.6395656,Add
2007,DZA,Algeria,0.3432278,0.2748709,0.3554459,0.6271981,Add
2007,ARG,Argentina,0.2955751,0.40786,0.1419441,0.6782219,Add
2007,ARM,Armenia,0.2461596,0.2916901,0.2133232,0.5982218,Add
2007,AUS,Australia,0.754772,0.8149057,0.8563579,0.8092199,Add
2007,AUT,Austria,0.8035435,0.8840165,0.8261541,0.9013473,Add
2007,AZE,Azerbaijan,0.5237625,0.5321151,0.2090667,0.2662613,Add
2007,BHR,Bahrain,0.6111637,0.6019174,0.5404221,0.8049873,Add
2007,BGD,Bangladesh,0.2595899,0.2740578,0.0123047,0.627472,Add
2007,BEL,Belgium,0.8958465,0.7202262,0.6698325,0.8942817,Add
2007,BEN,Benin,0.2656343,0.3674099,0.1989813,0.5839186,Add
2007,BOL,Bolivia,0.1374738,0.2242364,0.182147,0.6637455,Add
2007,BIH,Bosnia and Herzegovina,0.1102631,0.225457,0.1713686,0.7471337,Add
2007,BWA,Botswana,0.4174871,0.3823326,0.4821458,0.5618667,Add
2007,BRA,Brazil,0.2694153,0.6512454,0.2636688,0.6958956,Add
2007,BGR,Bulgaria,0.3491769,0.3237755,0.29469,0.7287697,Add
2007,KHM,Cambodia,0.3458497,0.375512,0.1378717,0.4669732,Add
2007,CMR,Cameroon,0.1880842,0.2589141,0.0945657,0.5539634,Add
2007,CAN,Canada,0.8394701,0.8551493,0.7489387,0.9387134,Add
2007,TCD,Chad,0.1004577,0.1207643,0.0395191,0.1884649,Add
2007,CHL,Chile,0.6500993,0.7607259,0.65927,0.7118054,Add
